Date,Close,Open,High,Low,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_Entry/Exit,side,cost/proceeds,shares
9/1/2020,344.0345459,341.7025902,344.1418595,340.7561525,6.619543802,0.666514857,5.953028946,0,hold,,0
9/2/2020,349.0106506,346.0542575,350.0351318,344.8443598,7.128035226,0.940005024,6.188030202,0,hold,,0
9/3/2020,336.9997559,347.2251553,347.7227758,334.267756,6.487060715,0.239224411,6.247836304,0,hold,,0
9/4/2020,334.24823,337.7217474,339.3804328,326.735268,5.691451149,-0.445108125,6.136559273,-2,sell,0,0
9/8/2020,325.1155396,328.5305163,334.3164854,324.7935691,4.274716768,-1.489474004,5.764190772,0,hold,,0
9/9/2020,331.5357666,329.3501608,334.1408898,328.4329931,3.628179833,-1.708808751,5.336988584,0,hold,,0
9/10/2020,325.7790833,333.5164388,334.2091829,324.7643388,2.62106442,-2.172739332,4.793803751,0,hold,,0
9/11/2020,325.9449463,327.6622016,328.7842596,322.9592828,1.815375441,-2.382742648,4.198118089,0,hold,,0
9/14/2020,330.2380371,329.2915994,332.1114091,326.1010458,1.505918382,-2.153759766,3.659678148,0,hold,,0
9/15/2020,331.9065552,332.8334598,333.7115909,330.2478399,1.379405963,-1.824217748,3.203623711,0,hold,,0
9/16/2020,330.5893555,333.2140121,334.7263474,330.2966252,1.15949106,-1.635306121,2.794797181,0,hold,,0
9/17/2020,327.6817017,325.4570891,329.4965336,324.9009285,0.742029895,-1.642213829,2.384243723,0,hold,,0
9/18/2020,323.9091797,328.5329563,328.6505052,321.2838228,0.105561076,-1.822946118,1.928507194,0,hold,,0
9/21/2020,320.3042297,319.0601313,320.4609715,315.1710645,-0.681874161,-2.088305084,1.406430923,0,hold,,0
9/22/2020,323.5663452,321.8716329,324.1541193,319.2168586,-1.030814218,-1.949796113,0.918981895,0,hold,,0
9/23/2020,316.0625305,324.1541181,324.4480201,315.5335308,-1.891048037,-2.248023945,0.356975909,0,hold,,0
9/24/2020,316.9049683,314.6714507,320.1376809,313.2803863,-2.476266986,-2.266594315,-0.20967267,0,hold,,0
9/25/2020,322.0283508,316.003704,322.8609984,315.0828948,-2.497849411,-1.830541392,-0.667308018,0,hold,,0
9/28/2020,327.3770447,326.4268184,328.1313363,325.3786247,-2.059616765,-1.113846998,-0.945769768,0,hold,,0
9/29/2020,325.5940857,327.161473,327.9451518,324.8593757,-1.83503103,-0.71140901,-1.12362202,0,hold,,0
9/30/2020,328.0628052,326.2994828,331.3934854,326.0937723,-1.441226624,-0.254083683,-1.187142941,0,hold,,0
10/1/2020,330.1689148,330.8056575,331.8342397,328.1803008,-0.948257428,0.19110841,-1.139365838,2,hold,,0
10/2/2020,327.0341492,324.9377919,330.1395369,324.4381795,-0.801288422,0.270461933,-1.071750355,0,hold,,0
10/5/2020,332.8334656,329.208884,333.0293703,329.1599152,-0.214386742,0.68589089,-0.900277633,0,hold,,0
10/6/2020,328.1019592,332.9804455,335.1943817,327.5631837,-0.129562437,0.616572156,-0.746134593,0,hold,,0
10/7/2020,333.8131104,331.2269163,334.6653693,331.1975291,0.39396225,0.912077475,-0.518115225,0,hold,,0
10/8/2020,336.7715454,335.860512,336.8401255,334.8906742,1.035642084,1.243005847,-0.207363763,0,hold,,0
10/9/2020,339.7789917,338.5152818,340.2687985,337.8589574,1.76649075,1.579083611,0.18740714,0,hold,,0
10/12/2020,345.2452087,342.4631097,346.8027908,341.9439157,2.755013535,2.054085117,0.700928419,0,hold,,0
10/13/2020,342.9920959,345.0982591,345.2843881,341.9732895,3.31836554,2.093949697,1.224415843,0,hold,,0
10/14/2020,340.8369141,343.5994313,344.755368,340.0630409,3.54999872,1.860466301,1.689532418,0,hold,,0
10/15/2020,340.4156799,336.7029365,340.9250682,336.1347739,3.657419158,1.574309392,2.083109766,0,hold,,0
10/16/2020,340.2099609,341.8458986,343.5994151,340.023832,3.683489848,1.280304066,2.403185783,0,hold,,0
10/19/2020,335.0375977,341.5422153,342.2083452,334.0873714,3.249328334,0.676914041,2.572414293,0,hold,,0
10/20/2020,336.3796692,336.4580251,339.8083162,335.6547648,2.979203756,0.325431571,2.653772186,0,hold,,0
10/21/2020,335.7429504,336.3306946,338.6230166,335.4196612,2.682824272,0.023241669,2.659582603,0,hold,,0
10/22/2020,337.5845947,335.9682384,338.201756,333.7053336,2.566956422,-0.074100944,2.641057367,-2,sell,0,0
10/23/2020,338.7307129,338.8776489,338.9364233,336.1347434,2.538351933,-0.082164347,2.62051628,0,hold,,0
10/26/2020,332.4710693,335.155201,335.9878785,328.777907,1.987669136,-0.506277715,2.493946851,0,hold,,0
10/27/2020,331.3248596,332.8334727,333.1861192,331.0995378,1.442135467,-0.841449107,2.283584574,0,hold,,0
10/28/2020,320.0005493,325.3296491,331.3542662,319.4813554,0.094924671,-1.750927923,1.845852594,0,hold,,0
10/29/2020,323.2528687,320.2454481,326.60313,318.4625444,-0.702219848,-2.038457953,1.336238106,0,hold,,0
10/30/2020,319.8829956,321.5875135,322.9687721,316.0233161,-1.58758255,-2.339056525,0.751473974,0,hold,,0
11/2/2020,323.4684143,323.4684143,325.5843533,320.5687366,-1.977134372,-2.182886677,0.205752305,0,hold,,0
11/3/2020,329.1795349,326.8872428,331.3542782,323.5565628,-1.804219376,-1.607977345,-0.196242031,0,hold,,0
11/4/2020,336.536438,333.911051,340.8467315,332.6669526,-1.061308301,-0.692053016,-0.369255285,0,hold,,0
11/5/2020,343.0998535,342.1202399,345.010112,341.747982,0.056416525,0.340537448,-0.284120923,2,hold,,0
11/6/2020,343.0214539,342.796132,344.343938,340.5626145,0.925229831,0.967480603,-0.042250772,0,hold,,0
11/9/2020,347.3317261,356.5498918,356.9515369,346.8419194,1.939219466,1.585176191,0.354043275,0,hold,,0
11/10/2020,346.8223572,346.2835518,347.939101,343.3643229,2.670923006,1.853503785,0.817419221,0,hold,,0
11/11/2020,349.3987732,349.1342584,350.2706137,347.8215799,3.419283206,2.081491187,1.337792018,0,hold,,0
11/12/2020,346.0092468,348.3309258,349.4476995,344.0990186,3.696249541,1.886766018,1.809483523,0,hold,,0
11/13/2020,350.7996216,348.0272985,351.5833005,347.4787173,4.253261613,1.955022472,2.298239141,0,hold,,0
11/16/2020,355.1784668,353.620885,355.3841773,352.2592079,4.990506455,2.153813851,2.836692604,0,hold,,0
11/17/2020,353.2682495,352.6315067,354.5417651,351.0347317,5.35886606,2.017738765,3.341127295,0,hold,,0
11/18/2020,349.0166931,353.5523084,354.1302767,348.9775002,5.247241696,1.524891521,3.722350175,0,hold,,0
11/19/2020,350.486145,348.3505946,350.8779845,346.9301429,5.217210319,1.195888115,4.021322204,0,hold,,0
11/20/2020,348.0860596,350.2118341,350.4273502,348.0077036,4.942766265,0.737155249,4.205611016,0,hold,,0
11/23/2020,350.1726685,349.9963452,351.5049585,347.6354728,4.837871306,0.505808231,4.332063074,0,hold,,0
11/24/2020,355.8152161,352.8665699,356.3931844,351.9653422,5.150673966,0.654888714,4.495785253,0,hold,,0
11/25/2020,355.2666321,355.7270516,355.7564388,354.1106953,5.293288451,0.638002559,4.655285892,0,hold,,0
11/27/2020,356.256073,356.4225906,356.7556556,355.1882679,5.423630831,0.614675951,4.80895488,0,hold,,0
11/30/2020,354.6788635,355.4331552,355.7172514,351.847796,5.33812589,0.423336808,4.914789082,0,hold,,0
12/1/2020,358.558136,358.1173278,360.184298,357.4903608,5.519759128,0.483976037,5.035783091,0,hold,,0
12/2/2020,359.312439,357.3825992,359.4789565,356.7752436,5.659333452,0.498840288,5.160493163,0,hold,,0
12/3/2020,359.2144775,359.2046718,360.6838978,358.0487351,5.696378139,0.42870798,5.267670158,0,hold,,0
12/4/2020,362.3100586,359.8316376,362.3100586,359.7336703,5.907426702,0.511805235,5.395621467,0,hold,,0
12/7/2020,361.5655518,361.4969716,362.0847457,360.223486,5.946066181,0.440355771,5.50571041,0,hold,,0
12/8/2020,362.6235352,360.2234702,363.221085,360.1745015,5.992975374,0.389811971,5.603163403,0,hold,,0
12/9/2020,359.3712158,363.319057,363.4855746,358.4895697,5.701987298,0.079059116,5.622928182,0,hold,,0
12/10/2020,359.2537231,357.921433,360.3606615,357.0005938,5.39965264,-0.178620433,5.578273073,-2,sell,0,0
12/11/2020,358.832428,357.460975,359.2634603,355.8544243,5.067638662,-0.408507529,5.476146191,0,hold,,0
12/14/2020,357.2258301,361.1247022,362.2610275,357.0397011,4.621601227,-0.683635971,5.305237198,0,hold,,0
12/15/2020,362.0553589,359.9100029,362.0553589,358.460194,4.604735435,-0.560401411,5.165136846,0,hold,,0
12/16/2020,362.6235352,362.2806645,363.5933429,361.3500197,4.584370481,-0.464613092,5.048983573,0,hold,,0
12/17/2020,364.6513367,364.3574646,364.8668528,363.4855942,4.677933438,-0.296840108,4.974773546,0,hold,,0
12/18/2020,363.195343,364.9563344,365.1334092,361.0703544,4.581780325,-0.314394577,4.896174902,0,hold,,0
12/21/2020,361.896698,359.0535627,372.32487,356.1612199,4.350637054,-0.436430278,4.787067332,0,hold,,0
12/22/2020,361.2867432,362.2410199,362.3590698,360.0963666,4.071304624,-0.572610166,4.643914791,0,hold,,0
12/23/2020,361.6114197,362.3099016,363.6281756,361.2670874,3.831957916,-0.649565499,4.481523416,0,hold,,0
12/24/2020,363.0182495,362.1131502,363.047762,361.4933881,3.712992273,-0.614824914,4.327817187,0,hold,,0
12/28/2020,366.1368713,365.7138191,366.550046,365.0546971,3.826251219,-0.401252775,4.227503994,0,hold,,0
12/29/2020,365.4383545,367.7502653,367.9371876,364.8185624,3.815660716,-0.329474622,4.145135338,0,hold,,0
12/30/2020,365.9597473,366.3040796,367.051769,365.5465726,3.805472591,-0.271730198,4.077202789,0,hold,,0
12/31/2020,367.8191223,365.7531589,368.5864767,365.2120869,3.902449443,-0.139802677,4.042252119,0,hold,,0
1/4/2021,362.811676,369.2259717,369.3637166,358.9060312,3.534501695,-0.40620034,3.940702034,0,hold,,0
1/5/2021,365.3104858,362.1328655,366.4615326,362.083658,3.405279579,-0.428337964,3.833617543,0,hold,,0
1/6/2021,367.4944458,363.7166989,370.8688656,363.1362668,3.439449604,-0.315334352,3.754783955,0,hold,,0
1/7/2021,372.9545288,370.0031609,373.7415482,369.8162385,3.862587161,0.086242565,3.776344597,2,hold,,0
1/8/2021,375.0794983,374.4203463,375.3057506,370.9869314,4.319600338,0.434604593,3.884995745,0,hold,,0
1/11/2021,372.5511475,371.7247681,374.4104935,371.5968707,4.426741077,0.433396265,3.993344811,0,hold,,0
1/12/2021,372.6298523,372.7479322,373.702179,370.2589165,4.466514507,0.378535756,4.08797875,0,hold,,0
1/13/2021,373.6333313,372.5511571,374.685963,371.7247777,4.526825183,0.351077146,4.175748037,0,hold,,0
1/14/2021,372.3248596,374.4203355,374.95159,371.9707099,4.418109879,0.193889474,4.224220405,0,hold,,0
1/15/2021,369.6096497,370.6131039,371.4591483,367.6420711,4.065987295,-0.126586488,4.192573783,-2,sell,0,0
1/19/2021,372.5118408,372.2068685,373.0824555,370.642647,3.975285565,-0.173830575,4.14911614,0,hold,,0
1/20/2021,377.6668396,374.9318769,378.5522438,374.5187022,4.27014553,0.096823512,4.173322018,2,hold,,0
1/21/2021,378.0111694,378.2571167,378.7096814,377.0372277,4.479966452,0.245315547,4.234650905,0,hold,,0
1/22/2021,376.6732483,376.0534562,377.9029849,375.650099,4.486573562,0.201538126,4.285035436,0,hold,,0
1/25/2021,378.158783,377.4504535,378.5325977,372.3248896,4.55912522,0.219271827,4.339853393,0,hold,,0
